,tucaseid,erbmi,erincome,ertpreat,ertseat,eudietsoda,eudrink,eueat,euexercise,euexfreq,eufastfd,eufastfdfrq,euffyday,eufdsit,eusnap,eugenhth,eugroshp,euhgt,euinclvl,eumeat,eumilk,euprpmel,eusoda,eustores,eustreason,eutherm,euwgt,bmi_class
0,20140101140007,33.200001,,30.0,2.0,,2.0,1.0,2.0,,2.0,,,1.0,1.0,1.0,1.0,60,5,1.0,2.0,1.0,,2.0,1.0,2.0,170,2
1,20140101140011,22.700001,1.0,45.0,14.0,,2.0,1.0,2.0,,1.0,1.0,2.0,1.0,2.0,2.0,3.0,63,5,1.0,2.0,1.0,,1.0,2.0,2.0,128,1
2,20140101140028,49.400002,5.0,60.0,,,1.0,2.0,2.0,,2.0,,,1.0,2.0,5.0,2.0,62,5,,,2.0,2.0,,,,270,2
4,20140101140168,31.0,5.0,65.0,,,1.0,2.0,1.0,5.0,2.0,,,1.0,1.0,4.0,1.0,69,5,1.0,2.0,1.0,2.0,1.0,1.0,2.0,210,2
5,20140101140559,30.700001,1.0,20.0,10.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,3.0,2.0,71,5,,,2.0,1.0,,,,220,2
6,20140101140610,33.299999,1.0,30.0,5.0,,1.0,1.0,2.0,,1.0,3.0,2.0,1.0,2.0,2.0,3.0,65,5,1.0,2.0,3.0,2.0,2.0,5.0,2.0,200,2
7,20140101140614,27.5,1.0,30.0,5.0,,2.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,63,5,1.0,2.0,1.0,,1.0,3.0,2.0,155,1
8,20140101140639,25.799999,1.0,117.0,10.0,,2.0,1.0,1.0,6.0,2.0,,,1.0,2.0,3.0,1.0,70,5,1.0,2.0,1.0,,1.0,4.0,2.0,180,1
9,20140101140665,28.299999,1.0,80.0,,2.0,1.0,2.0,2.0,,1.0,2.0,1.0,1.0,2.0,1.0,1.0,65,5,1.0,2.0,1.0,1.0,3.0,1.0,2.0,170,1
10,20140101140685,40.5,1.0,35.0,20.0,1.0,1.0,1.0,2.0,,1.0,5.0,2.0,1.0,2.0,4.0,1.0,70,5,,,2.0,1.0,1.0,1.0,,282,2
11,20140101140702,28.0,5.0,,5.0,,1.0,1.0,2.0,,2.0,,,1.0,2.0,3.0,1.0,56,5,1.0,2.0,1.0,2.0,1.0,2.0,2.0,125,1
12,20140101140725,27.9,1.0,25.0,10.0,,1.0,1.0,2.0,,1.0,5.0,1.0,1.0,2.0,3.0,2.0,77,5,,,2.0,2.0,,,,235,1
13,20140101140759,30.4,5.0,150.0,5.0,1.0,1.0,1.0,2.0,,2.0,,,1.0,2.0,3.0,2.0,68,5,,,2.0,1.0,,,,200,2
